Zip,Price,Area,Room,PriceSqm
1054 KT,1000000.0,122,5,8196.72131147541
1073 EE,825000.0,112,5,7366.071428571428
1077 KL,425000.0,67,2,6343.2835820895525
1094 SW,369000.0,56,2,6589.285714285715
1091 LJ,300000.0,46,3,6521.739130434783
1032 GT,389000.0,61,1,6377.049180327869
1065 XW,300000.0,59,3,5084.745762711865
1078 EZ,800000.0,123,6,6504.065040650406
1095 MA,600000.0,120,4,5000.0
1024 VG,300000.0,65,3,4615.384615384615
1076 LJ,415000.0,54,2,7685.185185185185
1024 VG,325000.0,77,4,4220.779220779221
1025 LS,775000.0,117,4,6623.931623931624
1087 KH,750000.0,158,6,4746.835443037975
1092 VZ,650000.0,102,4,6372.549019607844
1095 MP,600000.0,108,4,5555.555555555556
1052 HB,325000.0,46,2,7065.217391304348
1094 BC,385000.0,49,3,7857.142857142857
1016 GD,875000.0,96,5,9114.583333333334
1015 KG,500000.0,52,2,9615.384615384615
1023 CS,900000.0,120,5,7500.0
1034 WT,350000.0,83,3,4216.8674698795185
1108 CN,350000.0,118,5,2966.101694915254
1059 XL,450000.0,62,2,7258.064516129032
1068 CM,325000.0,88,4,3693.181818181818
1063 BL,200000.0,27,2,7407.407407407408
1056 HD,575000.0,80,3,7187.5
1068 NJ,325000.0,81,3,4012.3456790123455
1074 XP,400000.0,47,2,8510.63829787234
1019 GP,365000.0,59,2,6186.440677966101
1067 ML,350000.0,88,3,3977.2727272727275
1065 JM,300000.0,73,4,4109.58904109589
1104 GZ,375000.0,90,4,4166.666666666667
1091 MR,415000.0,61,3,6803.2786885245905
1064 PB,300000.0,65,4,4615.384615384615
1057 KB,625000.0,75,3,8333.333333333334
1107 LD,315000.0,102,5,3088.235294117647
1052 TV,325000.0,44,2,7386.363636363636
1053 TP,370000.0,46,2,8043.478260869565
1021 VL,298000.0,43,2,6930.232558139535
1094 EG,375000.0,56,3,6696.428571428572
1063 JK,325000.0,81,3,4012.3456790123455
1095 VA,325000.0,42,2,7738.0952380952385
1052 LX,375000.0,54,2,6944.444444444444
1063 AH,295000.0,46,2,6413.04347826087
1013 JK,375000.0,44,2,8522.727272727272
1067 GM,295000.0,65,4,4538.461538461538
1087 VJ,275000.0,48,2,5729.166666666667
1078 CJ,345000.0,47,2,7340.425531914893
1055 SC,500000.0,82,3,6097.5609756097565
1057 RX,390000.0,58,2,6724.137931034483
1093 CN,400000.0,58,2,6896.551724137931
1104 PH,250000.0,70,3,3571.4285714285716
1073 VP,625000.0,72,4,8680.555555555555
1087 DK,550000.0,97,3,5670.103092783505
1019 LG,585000.0,87,3,6724.137931034483
1107 WH,425000.0,142,6,2992.957746478873
1025 ZP,300000.0,85,3,3529.4117647058824
1052 TS,300000.0,45,2,6666.666666666667
1107 LC,275000.0,73,2,3767.123287671233
1013 BR,525000.0,69,3,7608.695652173913
1058 XE,725000.0,88,4,8238.636363636364
1013 JK,350000.0,48,2,7291.666666666667
1068 RL,275000.0,57,2,4824.561403508772
1066 TB,450000.0,97,4,4639.1752577319585
1057 PV,325000.0,47,3,6914.893617021276
1015 JN,425000.0,48,2,8854.166666666666
1081 EP,300000.0,44,2,6818.181818181818
1106 JC,330000.0,108,5,3055.5555555555557
1102 XP,215000.0,43,2,5000.0
1053 WX,695000.0,88,3,7897.727272727273
1018 BT,750000.0,108,3,6944.444444444444
1087 LD,400000.0,79,3,5063.291139240507
1052 HN,585000.0,82,3,7134.1463414634145
1091 SB,395000.0,44,2,8977.272727272728
1024 AV,250000.0,84,3,2976.190476190476
1057 GH,725000.0,103,3,7038.834951456311
1069 LE,275000.0,92,4,2989.1304347826085
1018 VK,700000.0,107,3,6542.056074766355
1104 PC,260000.0,83,4,3132.5301204819275
1107 PX,275000.0,83,3,3313.253012048193
1056 VX,535000.0,75,4,7133.333333333333
1061 BJ,465000.0,94,4,4946.808510638298
1054 BS,490000.0,62,3,7903.225806451613
1067 RG,375000.0,69,4,5434.782608695652
1058 CA,425000.0,58,3,7327.586206896552
1103 LM,265000.0,109,5,2431.1926605504586
1057 ZN,425000.0,58,3,7327.586206896552
1024 BE,525000.0,122,5,4303.2786885245905
1059 TL,625000.0,77,4,8116.883116883117
1067 RC,380000.0,77,4,4935.064935064935
1077 ZC,950000.0,148,7,6418.918918918919
1053 KD,350000.0,41,2,8536.585365853658
1065 XW,325000.0,70,4,4642.857142857143
1053 XP,550000.0,74,2,7432.4324324324325
1025 AP,300000.0,85,4,3529.4117647058824
1033 ZP,245000.0,50,2,4900.0
1096 GJ,230000.0,28,1,8214.285714285714
1057 PX,395000.0,53,3,7452.830188679245
1072 XT,365000.0,40,2,9125.0
1072 PH,698000.0,89,5,7842.696629213483
1068 ZV,495000.0,117,6,4230.7692307692305
1062 JN,375000.0,80,4,4687.5
